Club;Nacionalidad;Jugadores;Promedio edad;Promedio Rating;Promedio Altura;Promedio Peso
Korona Kielce;Serbia;1;22;61;185;80
Korona Kielce;Slovakia;1;35;61;188;88
Korona Kielce;Spain;2;29;66.5;171.5;70.5
Korona Kielce;Ukraine;1;32;66;186;85
KRC Genk;Australia;1;24;78;184;82
KRC Genk;Belgium;10;22;67.7;178.8;72.1
KRC Genk;Bosnia Herzegovina;1;25;73;186;78
KRC Genk;Czech Republic;1;24;73;186;79
KRC Genk;Finland;1;22;71;177;74
KRC Genk;Gambia;1;24;74;192;80
KRC Genk;Ghana;1;32;68;188;77
KRC Genk;Greece;1;25;74;174;80
KRC Genk;Ivory Coast;1;19;63;180;70
KRC Genk;Netherlands;3;23.6666666666667;72;184;74.3333333333333
KRC Genk;Norway;1;19;67;190;88
KRC Genk;Serbia;1;22;69;182;75
KRC Genk;Spain;2;23.5;75;176;67.5
KRC Genk;Tanzania;1;24;73;182;78
KRC Genk;Ukraine;1;23;72;181;79
Krylya Sovetov;Belarus;2;34;71;185.5;81.5
Krylya Sovetov;Belgium;1;25;69;180;74
Krylya Sovetov;Brazil;1;32;70;190;84
Krylya Sovetov;Finland;1;30;66;192;83
Krylya Sovetov;Georgia;1;31;73;197;85
Krylya Sovetov;Italy;1;27;72;172;70
Krylya Sovetov;Russia;19;23.2105263157895;62.4210526315789;182.263157894737;74
Krylya Sovetov;Serbia;2;24;67.5;181;74
Krylya Sovetov;Trinidad & Tobago;1;26;69;186;85
Krylya Sovetov;Ukraine;1;27;67;178;72
KV Kortrijk;Algeria;1;28;68;176;69
KV Kortrijk;Belgium;7;26;67.2857142857143;179.571428571429;71.2857142857143
KV Kortrijk;Croatia;1;28;67;191;91
