Club;Nacionalidad;Jugadores;Promedio edad;Promedio Rating;Promedio Altura;Promedio Peso
KV Kortrijk;DR Congo;1;27;69;177;82
KV Kortrijk;France;5;26.4;68.6;179.6;76
KV Kortrijk;Greece;2;27;68.5;189;79
KV Kortrijk;Portugal;1;27;70;185;69
KV Kortrijk;Senegal;1;20;64;196;91
KV Kortrijk;Serbia;3;27.6666666666667;66.3333333333333;189.333333333333;80.3333333333333
KV Kortrijk;South Africa;1;25;71;196;95
KV Kortrijk;Ukraine;1;24;70;187;77
KV Mechelen;Belgium;14;23.1428571428571;64.4285714285714;180.928571428571;74.1428571428571
KV Mechelen;Bosnia Herzegovina;1;29;71;190;86
KV Mechelen;Chinese Taipei;1;33;68;175;69
KV Mechelen;Costa Rica;1;20;61;169;66
KV Mechelen;France;2;27.5;70.5;181.5;79
KV Mechelen;Greece;2;24.5;69.5;177.5;71
KV Mechelen;Luxembourg;1;26;67;184;75
KV Mechelen;Morocco;1;21;68;182;78
KV Mechelen;Nigeria;1;26;63;194;85
KV Mechelen;Serbia;2;23.5;69.5;187;82.5
KV Mechelen;Slovenia;1;28;68;194;80
KV Oostende;Belgium;9;23.8888888888889;67.1111111111111;182.333333333333;73.5555555555556
KV Oostende;Brazil;1;25;73;176;68
KV Oostende;Cameroon;1;30;72;175;76
KV Oostende;Croatia;1;23;70;191;81
KV Oostende;Czech Republic;1;36;70;191;80
KV Oostende;Denmark;1;29;69;188;84
KV Oostende;DR Congo;1;20;55;176;74
KV Oostende;France;5;27;69;183.6;79.6
KV Oostende;Gabon;1;34;70;186;86
KV Oostende;Montenegro;2;25.5;71.5;183.5;83
KV Oostende;Nigeria;1;30;69;185;81
KV Oostende;South Africa;1;26;72;172;66
